X,Y,Z
-8.539285640450852810e+00,9.153686141866669956e+00,-1.041412967342348317e+01
-8.270079062396328951e+00,9.318983016762965477e+00,-1.136292088411300938e+01
-7.851909784594933939e+00,9.640680262758078101e+00,-1.221241799242016768e+01
-8.713107544742829447e+00,9.455929878930115606e+00,-1.268592164984180748e+01
-8.422344385430045932e+00,9.685797643004269375e+00,-1.361469374041408642e+01
-8.074859174321595390e+00,1.016645416843452132e+01,-1.441981691895401596e+01
-8.598386443886049335e+00,1.063094564506587147e+01,-1.513407658193325567e+01
-9.370473722809320449e+00,1.108477378630006527e+01,-1.468919316804960040e+01
-1.031597963915237592e+01,1.128147820980787763e+01,-1.494866557878480684e+01
-1.105923242459197553e+01,1.081891172438432491e+01,-1.446533593609858848e+01
-1.193633795741019910e+01,1.080038120689853365e+01,-1.494527604092560757e+01
-1.260340222800117083e+01,1.081283312345862591e+01,-1.569017214688597051e+01
-1.352745891974864989e+01,1.086713933960549028e+01,-1.606855035096822704e+01
-1.432616702760463134e+01,1.078977870815296036e+01,-1.666527532207835449e+01
-1.518870464680260568e+01,1.072289931216114134e+01,-1.716682891030204416e+01
-1.605458318064578549e+01,1.096744572942845863e+01,-1.760323630532566241e+01
-1.534513228860435596e+01,1.037406123945419090e+01,-1.722300706021214367e+01
-1.611895432625551905e+01,1.097577533894679291e+01,-1.742084435830632572e+01
-1.686744703625691599e+01,1.162993302280051822e+01,-1.752963952239873890e+01
-1.747734465287688366e+01,1.241743566710038671e+01,-1.744095760506493065e+01
-1.812796520070376616e+01,1.310680334746246700e+01,-1.775949348062317057e+01
-1.860790741023211936e+01,1.362632656925708119e+01,-1.846642423927580268e+01
-1.909420890313855423e+01,1.436875508828147474e+01,-1.892719614828959962e+01
-1.956953586426114100e+01,1.480749944484603198e+01,-1.968980198987011221e+01
-1.889012939953684977e+01,1.421934845331449360e+01,-1.925107056080295820e+01
-1.932057975141719552e+01,1.384976400745614811e+01,-1.842759024413128799e+01
-1.977310829937173509e+01,1.447596515269964357e+01,-1.906248396671947987e+01
-2.027475984642000029e+01,1.520289000203831975e+01,-1.953144663981620255e+01
-2.076944778460974206e+01,1.585924944325270580e+01,-2.010107470069305435e+01
-2.074902568215750520e+01,1.508278694301028722e+01,-1.947124224404388571e+01
-2.134252790299381886e+01,1.584382299988746823e+01,-1.973311861563016834e+01
-2.150318867915176568e+01,1.646040570861142527e+01,-2.050384157383691175e+01
-2.185630874693113412e+01,1.731008868716544669e+01,-2.089543454324144278e+01
-2.131807655076258357e+01,1.732926932481167626e+01,-2.173801285185558640e+01
-2.053292987128124025e+01,1.776803949768812529e+01,-2.217507740897890756e+01
-2.022047511792074204e+01,1.775987486222467382e+01,-2.312497496441853784e+01
-2.117725195217795076e+01,1.765956446295638571e+01,-2.339795099491827912e+01
-2.024090832158850972e+01,1.776387008228980591e+01,-2.373318366520872402e+01
-2.113482052617430185e+01,1.820739578604658249e+01,-2.379803673452408930e+01
-2.190958546560191422e+01,1.782647229551607637e+01,-2.430265201669039854e+01
-2.154620719217681213e+01,1.839534794066361911e+01,-2.356486022305173123e+01
-2.102023539839218813e+01,1.871267256862698503e+01,-2.277577293217010634e+01
-2.141605452125629583e+01,1.804382130023144626e+01,-2.340503059222739779e+01
-2.116985603099632840e+01,1.879275751588337329e+01,-2.278982262066112341e+01
-2.180587059752980039e+01,1.945375007279469060e+01,-2.318803652155494532e+01
-2.212243235491511584e+01,1.869269349782511114e+01,-2.375423572983477172e+01
-2.231716229920465011e+01,1.793456508580441877e+01,-2.437658736651935953e+01
-2.244552166094044310e+01,1.713269958708166030e+01,-2.496014164523976220e+01
-2.264421186221459692e+01,1.642393717804139897e+01,-2.563703015263893903e+01
-2.286780284677791286e+01,1.586651352111471525e+01,-2.643658373953633500e+01
-2.310625124844124301e+01,1.540770072872551566e+01,-2.729252367976826221e+01
-2.348741199947815161e+01,1.505788196648283694e+01,-2.814829427721361910e+01
-2.393347530333693030e+01,1.496344273733479113e+01,-2.903829919908119805e+01
-2.347977344861045168e+01,1.504771084042694440e+01,-2.992545956441488997e+01
-2.380150206891920561e+01,1.484469528417089634e+01,-3.085027056066886786e+01
-2.423372908587174379e+01,1.462329778733890606e+01,-3.172443470670371823e+01
-2.476047349005239440e+01,1.471953128666570976e+01,-3.256899343543233272e+01
-2.517854975123232464e+01,1.458337871568348554e+01,-3.346714415622074057e+01
-2.561190384680673304e+01,1.447946954533068897e+01,-3.436235760125241967e+01
-2.526178798317450358e+01,1.462534833108099797e+01,-3.343708020398116076e+01
-2.579106212201564219e+01,1.439654406442017631e+01,-3.425409764168477267e+01
-2.558366605479232092e+01,1.405702207765970613e+01,-3.517154610988695396e+01
-2.651897367527168470e+01,1.439496265737502334e+01,-3.506668515597699809e+01
-2.568688638440415772e+01,1.417664113503045442e+01,-3.557655421098807835e+01
-2.643881804050510453e+01,1.452811504612087923e+01,-3.501882230910681670e+01
-2.631357851124263192e+01,1.504489279252651279e+01,-3.417191273829654818e+01
-2.718674053674114077e+01,1.456198743670490181e+01,-3.410565193128247330e+01
-2.687389973787009012e+01,1.543320321635642856e+01,-3.372734821751810586e+01
-2.650388603444450553e+01,1.619910351030540951e+01,-3.320152828730800820e+01
-2.594707583076475288e+01,1.688195223923050747e+01,-3.272858007610143005e+01
-2.584436350408299177e+01,1.765753849997522451e+01,-3.210575094215565173e+01
-2.559318934770471543e+01,1.847479467743217185e+01,-3.158709509906109147e+01
-2.515774727315071146e+01,1.926060465830423141e+01,-3.114789938679836112e+01
-2.524011077516729884e+01,1.963822810459032908e+01,-3.207018827123239646e+01
-2.539997749398948912e+01,1.866851597572512489e+01,-3.225485288436860998e+01
-2.452554230630564192e+01,1.818365700018039632e+01,-3.227143228043814105e+01
-2.480836519275963425e+01,1.723505841721293308e+01,-3.241346024701500284e+01
-2.472431413146478718e+01,1.817778086360393175e+01,-3.209064480722658885e+01
-2.472620403772539888e+01,1.724209259458868004e+01,-3.244346755519158876e+01
-2.471683132379052239e+01,1.820845271367034002e+01,-3.218644562522844410e+01
-2.496485435371743833e+01,1.909441606705631500e+01,-3.179458657775990105e+01
-2.518975244719633722e+01,1.993925771085599052e+01,-3.130913478360169222e+01
-2.503780658813490589e+01,1.906160093040865533e+01,-3.176370164518412764e+01
-2.487504492269199474e+01,1.810624092518518680e+01,-3.201026989269720957e+01
-2.496176844743820311e+01,1.896308498793542086e+01,-3.150204033591674246e+01
-2.529979514371570559e+01,1.988345294174352773e+01,-3.130541688307654624e+01
-2.535296017478965780e+01,1.966107588828696606e+01,-3.033190677754764764e+01
-2.477250134987065167e+01,1.965887187008450709e+01,-3.114619339470245407e+01
-2.442691865313541655e+01,2.044616248198305186e+01,-3.165682642549230508e+01
-2.503306896921201030e+01,2.123622416563230431e+01,-3.174839241453600280e+01
-2.439999806213539202e+01,2.160736899747911721e+01,-3.242771026385736377e+01
-2.478287751951274132e+01,2.109269382229721401e+01,-3.166056439430587233e+01
-2.495132003643038487e+01,2.154271824664580137e+01,-3.253755078871810724e+01
-2.418099423215548072e+01,2.142419968747731218e+01,-3.191101147917652270e+01
-2.347939263236816743e+01,2.129746435771628299e+01,-3.120980298566960442e+01
-2.270486361561179933e+01,2.106424694298063827e+01,-3.062182812254496866e+01
-2.282759007831182529e+01,2.051936411685742101e+01,-2.979234580136559529e+01
-2.183215539986425924e+01,2.061479809987770651e+01,-2.979087752724941751e+01
-2.085081721741509497e+01,2.080652357151916476e+01,-2.977615627760001615e+01
-2.148050174945571555e+01,2.052247205523710605e+01,-2.905309879288205721e+01
-2.208720635614934480e+01,2.078951333765926890e+01,-2.980183003551792353e+01
-2.158503543630605037e+01,2.143459186893847601e+01,-3.037776237160126414e+01
-2.187576531451772510e+01,2.047835192765008117e+01,-3.041064568955735936e+01
-2.209235578309801440e+01,1.967125720932781974e+01,-3.095990581424919341e+01
-2.228948555378878993e+01,1.870732574386219582e+01,-3.113872411139103491e+01
-2.224471252278430811e+01,1.771014381033170793e+01,-3.119892018381338872e+01
-2.180804805790609890e+01,1.686007077157825762e+01,-3.090447159085173112e+01
-2.090220774911962209e+01,1.678369759339477696e+01,-3.048779369051170463e+01
-2.166691346476206093e+01,1.630200210180638365e+01,-3.005978128199156174e+01
-2.233516963370148289e+01,1.556987229922596505e+01,-3.019176478417262643e+01
-2.310250173694503317e+01,1.533314496950061745e+01,-3.078771915716852803e+01
-2.272973710652179946e+01,1.492477908972290734e+01,-2.995448219295078118e+01
-2.327753082567143750e+01,1.527666326198927038e+01,-3.071349442642835825e+01
-2.387706419025699844e+01,1.582113603686204328e+01,-3.130010259392268779e+01
-2.306029699622070694e+01,1.540925885575813581e+01,-3.089606232559293275e+01
-2.382781449495682580e+01,1.592752156205783187e+01,-3.127331642615747498e+01
-2.421421055157559366e+01,1.643514399911722634e+01,-3.204339275277928323e+01
-2.459764579261980799e+01,1.678817695646349506e+01,-3.289682414835405666e+01
-2.513835365544308331e+01,1.693862294690579873e+01,-3.372447202700833202e+01
-2.566183037184662297e+01,1.710900641212498030e+01,-3.455930231045716994e+01
-2.567438874202276011e+01,1.647672226969829978e+01,-3.378466752517169169e+01
-2.538949028193155399e+01,1.573943879927220912e+01,-3.439724074665148379e+01
-2.512320493793247422e+01,1.609136661973826676e+01,-3.349988968672381873e+01
-2.466346019929031286e+01,1.676179952337482248e+01,-3.408225941208075938e+01
-2.444430160970497923e+01,1.756380322884860590e+01,-3.463792079189520479e+01
-2.401040958521007340e+01,1.830031699994067651e+01,-3.515684773865309154e+01
-2.350740921529837379e+01,1.903994413451007972e+01,-3.560399685212347975e+01
-2.292987056295809367e+01,1.974770441941499399e+01,-3.601084385550964129e+01
-2.278730086587964365e+01,2.040243701334463466e+01,-3.675313699970614323e+01
-2.238371750478578548e+01,2.103887300549385486e+01,-3.741045708805368974e+01
-2.286881194273208706e+01,2.054209419555277449e+01,-3.669080842358810912e+01
-2.213975804151441906e+01,2.105274630334423591e+01,-3.714656585241121434e+01
-2.161482207299121683e+01,2.164297714315112486e+01,-3.775981114158307150e+01
-2.094311666750768453e+01,2.217086508702065828e+01,-3.827956701404765028e+01
-2.136309405987794818e+01,2.129044922566896503e+01,-3.805936960039744577e+01
-2.150058994493163311e+01,2.036287659149051876e+01,-3.840679425397944158e+01
-2.174665036412158514e+01,2.132428164379713920e+01,-3.852989825678753277e+01
-2.087840178935017832e+01,2.149090541585409753e+01,-3.899721071220997004e+01
-2.087786038528627230e+01,2.233445314202709042e+01,-3.953426465787094202e+01
-2.063481384925228923e+01,2.153295627241188370e+01,-3.898788461676502237e+01
-2.031351797628405365e+01,2.080388944304870691e+01,-3.838354156821072394e+01
-2.029701261651441868e+01,1.985420678379738391e+01,-3.869632011577468944e+01
-2.114250513651935748e+01,1.963190439175972202e+01,-3.918183432268323685e+01
-2.080313144394051861e+01,1.938190329207913720e+01,-3.827501298033188704e+01
